NEIGHBORHOOD_NAME,PRIORITY_NEIGH,ZCTA,Indicator,N_FULLY_VACCINATED_CUMULATIVE,N_PARTIALLY_VACCINATED_CUMULATIVE,PERC_FULLY,PERC_PARTIALLY,POPULATION_ESTIMATE
Airport/East Elmhurst,Yes,11369,5,"1,179","1,236",5,5,"26,107"
Airport/South Jamaica/Springfield Gardens/St. Albans,Yes,11434,3,"1,471","1,709",3,3,"53,243"
Allerton/Baychester/Pelham Gardens/Williamsbridge,Yes,10469,6,"3,694","3,250",7,6,"56,416"
Allerton/Norwood/Pelham Parkway/Williamsbridge,Yes,10467,5,"3,651","3,565",5,5,"77,336"
Alphabet City/East Village/Stuyvesant Town-Cooper Village,Yes,10009,6,"3,242","3,135",6,6,"50,564"
Annadale/Rossville,No,10312,9,"3,619","4,289",7,9,"48,424"
Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,No,10305,8,"2,540","2,627",7,8,"34,317"
Arverne/Broad Channel,Yes,11693,6,550,548,6,6,"9,768"
Arverne/Edgemere,Yes,11692,4,773,546,5,4,"15,519"
Astoria (North),No,11102,6,"1,687","1,441",7,6,"24,950"
Astoria (North)/Astoria (South),No,11103,5,"1,437","1,468",5,5,"29,828"
Astoria (South),No,11106,6,"1,765","1,783",6,6,"31,753"
Astoria (South)/Long Island City/Sunnyside,Yes,11101,5,"1,952","1,538",6,5,"30,635"
Auburndale/Fresh Meadows/Pomonok/Utopia,No,11365,6,"1,856","2,259",5,6,"35,055"
Auburndale/Murray Hill,No,11358,7,"1,613","2,032",5,7,"29,642"
Bath Beach/Bensonhurst/Gravesend,No,11214,5,"3,170","3,918",4,5,"73,712"
Bath Beach/Dyker Heights,No,11228,6,"2,003","2,261",6,6,"35,510"
Battery Park City,No,10280,5,444,400,6,5,"7,517"
,,10282,5,347,221,8,5,"4,396"
Bay Ridge/Fort Hamilton,No,11209,8,"4,121","4,242",8,8,"54,829"
Bayside (North),No,11360,10,"1,421","1,572",9,10,"16,135"
Bayside (North)/Bayside (South),No,11361,8,"1,247","1,623",6,8,"21,576"
Bayside (South)/Oakland Gardens,No,11364,8,"1,970","2,378",7,8,"29,085"
Bedford-Stuyvesant (East)/Bushwick,Yes,11221,4,"1,984","2,429",3,4,"64,339"
Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Yes,11233,3,"1,410","1,721",2,3,"56,732"
Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Yes,11205,4,"1,026","1,302",3,4,"33,743"
Bedford-Stuyvesant (West)/Crown Heights (West),Yes,11216,5,"1,693","2,085",4,5,"46,043"
Belle Harbor-Neponsit/Rockaway Park,Yes,11694,10,"1,826","1,705",11,10,"16,540"
Bellerose,No,11426,7,962,"1,065",6,7,"16,080"
Bellerose/Douglaston-Little Neck,No,11004,18,"3,884","2,909",24,18,"16,323"
Bellerose/Hollis Hills/Holliswood,No,11427,7,"1,902","1,429",10,7,"19,077"
Belmont/Claremont/Mount Hope/Tremont,Yes,10457,5,"1,779","2,532",3,5,"53,118"
Belmont/Fordham University/Kingsbridge,Yes,10458,4,"1,523","2,616",3,4,"60,560"
Bensonhurst/Mapleton,No,11204,5,"2,354","2,741",4,5,"56,437"
