,Unnamed: 0,Unnamed: 1,time,geometry
0,gdf_nodes0,0,15 mins,"POLYGON ((-8225388.881412921 4987194.698123116, -8226249.347680906 4988027.797239444, -8226641.170024599 4988505.119692285, -8226743.806595109 4989600.485068726, -8225930.172436903 4990401.04483449, -8225276.059109001 4990680.226076647, -8225028.751728255 4990766.277910856, -8224709.220261882 4990462.413984588, -8223681.85268135 4988994.075359891, -8224202.226773011 4987948.77298673, -8224993.75288035 4987431.504366639, -8225388.881412921 4987194.698123116))"
1,gdf_nodes1,0,15 mins,"POLYGON ((-8225098.738292117 4986243.205737156, -8225234.937689101 4986304.210388722, -8225470.979537381 4986608.533237704, -8225610.128900872 4986827.289078453, -8225720.346328706 4987073.516634638, -8225771.20820405 4987321.309891348, -8225995.850936469 4989202.731373581, -8225374.354219372 4990036.958587046, -8224241.032747504 4990551.201258746, -8223186.60339876 4990422.634369155, -8222925.425609461 4990362.163189143, -8222926.52767242 4990225.916769686, -8222932.004591367 4990078.31127199, -8223058.474664858 4988797.004001283, -8223183.831543439 4988229.134684036, -8224333.917730621 4986691.709897386, -8225098.738292117 4986243.205737156))"
2,gdf_nodes2,0,15 mins,"POLYGON ((-8235374.974445716 4973015.145120188, -8235891.018209186 4973044.849540953, -8236193.517793469 4973087.114591972, -8236392.980057071 4973180.283452108, -8237356.672888868 4974308.281817648, -8237422.796666401 4975182.512069508, -8237169.121810781 4975397.074017432, -8235752.024692982 4975195.427971866, -8234534.044748366 4974534.93149307, -8234593.945766361 4973672.688723281, -8234602.417179612 4973579.662083659, -8234614.0278025 4973567.159676374, -8234825.968981021 4973361.878606241, -8235374.974445716 4973015.145120188))"
3,gdf_nodes3,0,15 mins,"POLYGON ((-8234158.274675244 4965561.498075358, -8234719.747922908 4965695.360428665, -8234966.253803319 4965772.296512802, -8235201.449623468 4965979.664365211, -8235909.408189065 4966766.574774474, -8236003.42863099 4967040.632704273, -8236206.152555673 4967637.385281475, -8236110.250814355 4968182.018934401, -8235404.518638573 4968281.616479233, -8233732.221588131 4967856.274648778, -8233527.772211339 4967611.940517865, -8233975.009397551 4965889.705578286, -8234158.274675244 4965561.498075358))"
4,gdf_nodes4,0,15 mins,"POLYGON ((-8225745.805096251 4961964.693560019, -8226185.962362847 4962001.525381728, -8228344.937095087 4964750.362798552, -8227961.552768796 4965020.63589598, -8225880.412624517 4965951.49343551, -8225431.884132215 4965793.273848105, -8225318.471834993 4965689.473910984, -8224733.710549857 4964705.256849247, -8224698.310951784 4964523.103145692, -8224626.309505138 4964151.5846836, -8224844.284200062 4962493.001342006, -8225150.713362369 4961980.350735819, -8225745.805096251 4961964.693560019))"
5,gdf_nodes5,0,15 mins,"POLYGON ((-8224894.366838968 4973790.618744626, -8226052.067279321 4973930.529347273, -8226566.55256992 4974248.718461681, -8226332.436548833 4975485.077811526, -8225718.531821007 4977084.580929467, -8225240.614983131 4977427.211350107, -8225033.315827377 4977455.900377369, -8224222.676163471 4976168.195829913, -8223441.703143862 4974649.242736199, -8223545.35272174 4974436.16648031, -8223729.664402646 4974287.095204932, -8224371.599378255 4973982.950427001, -8224894.366838968 4973790.618744626))"
6,gdf_nodes6,0,15 mins,"POLYGON ((-8220562.569229832 4989810.331327995, -8220724.650408428 4989878.466112575, -8221193.973381612 4990228.712907362, -8222247.679153665 4991262.161436077, -8222243.671651995 4991331.689875126, -8221762.927299056 4991671.185348433, -8220534.961996115 4992128.976901755, -8220027.67907657 4992116.480152179, -8217886.170372436 4991275.510740168, -8220362.951118943 4989874.963708155, -8220562.569229832 4989810.331327995))"
7,gdf_nodes7,0,15 mins,"POLYGON ((-8223239.457892989 4992493.185439939, -8224578.842874265 4992602.687648449, -8225052.86352996 4992777.505123002, -8225375.467414279 4992945.318716388, -8225840.515719018 4994001.948296329, -8225813.810173177 4995867.445974771, -8225759.642108956 4995968.445491351, -8225746.65112438 4995992.344495, -8224666.061695301 4997355.244252104, -8223503.296218119 4996229.806295248, -8223397.731944999 4996025.991682061, -8222916.542314095 4994498.025896747, -8222909.217491602 4994320.866097526, -8223215.590994162 4992506.138990995, -8223239.457892989 4992493.185439939))"
8,gdf_nodes8,0,15 mins,"POLYGON ((-8231660.009267014 4960413.730074786, -8233163.935587632 4960729.32300902, -8233525.879779997 4961077.616782204, -8233643.989759726 4961316.168044853, -8233642.932224566 4961443.193314747, -8233465.978762001 4962207.874190504, -8233275.255078424 4962574.813676716, -8232506.415883312 4962867.303868609, -8232190.925314455 4962976.59187038, -8231244.564927373 4963177.090904686, -8230942.532884952 4963090.430556085, -8230637.428424587 4963001.86315179, -8230215.939436596 4962824.11438505, -8230021.586737621 4962697.966376459, -8230007.749724914 4962515.483156702, -8230857.507057886 4961047.567189127, -8231552.385583313 4960430.92529947, -8231660.009267014 4960413.730074786))"
9,gdf_nodes9,0,15 mins,"POLYGON ((-8231445.774906982 4979911.946452236, -8232042.146815008 4980602.695748166, -8232053.479139172 4980619.147306184, -8232168.561228754 4980803.144948703, -8232120.871958897 4980917.36784244, -8232069.909896012 4980987.969403411, -8231783.106359933 4981070.642392456, -8231681.126574418 4981089.917664465, -8231434.631825954 4981114.98586691, -8230815.795644684 4981135.334531353, -8230888.587459714 4980892.182527841, -8231445.774906982 4979911.946452236))"
